,Station,BCI,DateTimeOriginal,Date,Time,Species,Month,TimeStamp
414,D12,4,7/9/2018 3:33,7/9/2018,3:33:08,Deer - Doe,7,7/9/2018 3:33
415,D14,3,7/9/2018 15:14,7/9/2018,15:14:35,Deer - Doe,7,7/9/2018 15:14
416,B14,3,7/10/2018 22:38,7/10/2018,22:38:58,Deer - Buck,7,7/10/2018 22:38
417,B14,4,7/10/2018 8:42,7/10/2018,8:42:22,Deer - Buck,7,7/10/2018 8:42
418,B14,4,7/10/2018 11:33,7/10/2018,11:33:55,Deer - Buck,7,7/10/2018 11:33
419,B14,4,7/10/2018 22:33,7/10/2018,22:33:50,Deer - Buck,7,7/10/2018 22:33
420,B14,1,7/10/2018 22:13,7/10/2018,22:13:38,Deer - Doe,7,7/10/2018 22:13
421,B14,2,7/10/2018 21:07,7/10/2018,21:07:27,Deer - Doe,7,7/10/2018 21:07
422,B14,4,7/10/2018 9:16,7/10/2018,9:16:14,Deer - Doe,7,7/10/2018 9:16
423,B14,4,7/10/2018 10:25,7/10/2018,10:25:20,Deer - Doe,7,7/10/2018 10:25
424,D14,2,7/10/2018 4:57,7/10/2018,4:57:58,Deer - Doe,7,7/10/2018 4:57
425,D14,3,7/10/2018 10:07,7/10/2018,10:07:30,Deer - Doe,7,7/10/2018 10:07
426,B14,3,7/11/2018 22:22,7/11/2018,22:22:29,Deer - Buck,7,7/11/2018 22:22
427,B14,4,7/11/2018 9:48,7/11/2018,9:48:12,Deer - Buck,7,7/11/2018 9:48
428,B14,4,7/11/2018 10:41,7/11/2018,10:41:00,Deer - Buck,7,7/11/2018 10:41
429,B14,4,7/11/2018 21:26,7/11/2018,21:26:07,Deer - Buck,7,7/11/2018 21:26
430,B14,4,7/11/2018 22:22,7/11/2018,22:22:37,Deer - Buck,7,7/11/2018 22:22
431,B14,2,7/11/2018 21:57,7/11/2018,21:57:15,Deer - Doe,7,7/11/2018 21:57
432,B14,3,7/11/2018 9:52,7/11/2018,9:52:30,Deer - Doe,7,7/11/2018 9:52
433,B14,3,7/11/2018 10:09,7/11/2018,10:09:29,Deer - Doe,7,7/11/2018 10:09
434,B14,3,7/11/2018 10:41,7/11/2018,10:41:50,Deer - Doe,7,7/11/2018 10:41
435,B14,3,7/11/2018 11:20,7/11/2018,11:20:45,Deer - Doe,7,7/11/2018 11:20
